Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
"First principles,","This volume presents an interconnected set of sixteen essays, four of which are previously unpublished, by Allan Gotthelf—one of the leading experts in the study of Aristotle's biological writings. Gotthelf addresses three main topics across Aristotle's three main biological treatises. Starting with his own ground-breaking study of Aristotle's natural teleology and its illuminating relationship with the Generation of Animals, Gotthelf proceeds to the axiomatic structure of biological explanation (and the first principles such explanation proceeds from) in the Parts of Animals. After an exploration of the implications of these two treatises for our understanding of Aristotle's metaphysics, Gotthelf examines important aspects of the method by which Aristotle organizes his data in the History of Animals to make possible such a systematic, explanatory study of animals, offering a new view of the place of classification in that enterprise. In a concluding section on 'Aristotle as Theoretical Biologist', Gotthelf explores the basis of Charles Darwin's great praise of Aristotle and, in the first printing of a lecture delivered worldwide, provides an overview of Aristotle as a philosophically-oriented scientist, and 'a proper verdict' on his greatness as scientist.",['Allan Gotthelf'],http://books.google.com/books/content?id=FwNREAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=FwNREAAAQBAJ&pg=PA157&dq=First+principles,&hl=&cd=1&source=gbs_api",Oxford University Press,2012-02-23,https://play.google.com/store/books/details?id=FwNREAAAQBAJ&source=gbs_api,['Philosophy'],
The Evolution of Intelligence,"How is one to understand the nature of intelligence? One approach is through psychometric testing, but such an approach often puts the ""cart before the horse""--the test before the theory. Another approach is to use evolutionary theory. This criterion has been suggested by a number of individuals in the past, from Charles Darwin in the more distant past to Howard Gardner, Stephen Gould, Steven Pinker, Carl Sagan, David Stenhouse, and many others. The chapters in this book address three major questions: 1. Does evolutionary theory help us understand the nature of human intelligence? 2. If so, what does it tell us about the nature of human intelligence? 3. And if so, how has intelligence evolved? The goal of this book is to present diverse points of view on the evolution of intelligence as offered by leading experts in the field. In particular, it may be possible to better understand the nature and societal implications of intelligence by understanding how and why it has evolved as it has. This book is unique in offering a diversity of points of view on the topic of the evolution of human intelligence.","['Robert J. Sternberg', 'James C. Kaufman']",http://books.google.com/books/content?id=zb5XXzxzj2IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=zb5XXzxzj2IC&printsec=frontcover&dq=The+Evolution+of+Intelligence&hl=&cd=1&source=gbs_api,Psychology Press,2013-06-17,https://play.google.com/store/books/details?id=zb5XXzxzj2IC&source=gbs_api,['Psychology'],
The descent of man and selection in relation to sex,,['Charles Darwin'],http://books.google.com/books/content?id=j-8hm8eHg-UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=j-8hm8eHg-UC&printsec=frontcover&dq=The+descent+of+man+and+selection+in+relation+to+sex&hl=&cd=1&source=gbs_api,,1871,https://play.google.com/store/books/details?id=j-8hm8eHg-UC&source=gbs_api,['Evolution'],
Galapagos: World's End,"In 1835, Charles Darwin observed variations among the Galapagos Islands' species that inspired him to formulate the theory of natural selection. Eighty-eight years later, in 1923, a scientific expedition sponsored by the New York Zoological Society followed in Darwin's wake. Led by the author, a biologist and explorer, the scientists visited the the islands to study and obtain specimens of indigenous plants and animals. This is his personal account of that expedition. He recounts the expedition's productive results, including specimens of 60 species previously unknown to science, and an unparalleled accumulation of data that stimulated many scientific papers and new avenues of naturalistic inquiry.",['William Beebe'],http://books.google.com/books/content?id=jThMAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=jThMAAAAMAAJ&printsec=frontcover&dq=Galapagos:+World%27s+End&hl=&cd=1&source=gbs_api,Wm. Tyrrell & Company,1924,https://play.google.com/store/books/details?id=jThMAAAAMAAJ&source=gbs_api,['Galápagos Islands'],
Brunswick Gardens,"In London’s affluent Brunswick Gardens, the battle over Charles Darwin’s revolutionary theory of evolution intensifies as the respected Reverend Parmenter is boldly challenged by his beautiful assistant, Unity Bellwood—a “new woman” whose feminism and aggressive Darwinism he finds appalling. When Unity, three months pregnant, tumbles down the staircase to her death, Superintendent Thomas Pitt is as certain as he can be that one of the three deeply devout men in the house committed murder. Could it have been the Reverend Parmenter? His handsome curate? Or his son, a fervent Roman Catholic? Pitt and his clever wife, Charlotte, refuse to settle for less than the truth—or less than justice.",['Anne Perry'],http://books.google.com/books/content?id=8e2URJi6cFoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=8e2URJi6cFoC&printsec=frontcover&dq=Brunswick+Gardens&hl=&cd=1&source=gbs_api,Ballantine Books,2010-09-29,https://play.google.com/store/books/details?id=8e2URJi6cFoC&source=gbs_api,['Fiction'],3.0
Charles Darwin and the Problem of Creation,The theological and sociological grounds behind Darwin's conversion from a creationist to evolutionist theory of mankind are analyzed along with the scientific theories of the two schools of thought,['Neal C. Gillespie'],,http://books.google.com/books?id=X_uuQgAACAAJ&dq=Charles+Darwin+and+the+Problem+of+Creation&hl=&cd=1&source=gbs_api,,1979,http://books.google.com/books?id=X_uuQgAACAAJ&dq=Charles+Darwin+and+the+Problem+of+Creation&hl=&source=gbs_api,['Science'],
The survival of Charles Darwin: A biography of a man and an idea (Library of great lives),"Describes Darwin's famous voyage aboard the H.M.S. Beagle and documents the development of his ideas, and the controversy that greeted them.",['Ronald William Clark'],,http://books.google.com/books?id=N5fuswEACAAJ&dq=The+survival+of+Charles+Darwin:+A+biography+of+a+man+and+an+idea+(Library+of+great+lives)&hl=&cd=1&source=gbs_api,,1984,http://books.google.com/books?id=N5fuswEACAAJ&dq=The+survival+of+Charles+Darwin:+A+biography+of+a+man+and+an+idea+(Library+of+great+lives)&hl=&source=gbs_api,['Evolution (Biology)'],1.0
Evolution: A Very Short Introduction,"Less than 450 years ago, all European scholars believed that the Earth was at the centre of a Universe that was at most a few million miles in extent, and that the planets, sun, and stars all rotated around this centre. Less than 250 years ago, they believed that the Universe was createdessentially in its present state about 6000 years ago. Even less than 150 years ago, the view that living species were the result of special creation by God was still dominant. The recognition by Charles Darwin and Alfred Russel Wallace of the mechanism of evolution by natural selection hascompletely transformed our understanding of the living world, including our own origins. In this Very Short Introduction Brian and Deborah Charlesworth provide a clear and concise summary of the process of evolution by natural selection, and how natural selection gives rise to adaptations and eventually, over many generations, to new species. They introduce the central concepts of thefield of evolutionary biology, as they have developed since Darwin and Wallace on the subject, over 140 years ago, and discuss some of the remaining questions regarding processes. They highlight the wide range of evidence for evolution, and the importance of an evolutionary understanding forinstance in combating the rapid evolution of resistance by bacteria to antibiotics and of HIV to antiviral drugs. This reissue includes some key updates to the main text and a completely updated Further Reading section.ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, andenthusiasm to make interesting and challenging topics highly readable.","['Brian Charlesworth', 'Deborah Charlesworth']",http://books.google.com/books/content?id=QDclDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=QDclDwAAQBAJ&printsec=frontcover&dq=Evolution:+A+Very+Short+Introduction&hl=&cd=1&source=gbs_api,Oxford University Press,2017-06-22,http://books.google.com/books?id=QDclDwAAQBAJ&dq=Evolution:+A+Very+Short+Introduction&hl=&source=gbs_api,,
"MADE IN AMERICA: SCIENCE, TECHNOLOGY, AND AMERICAN MODERNIST POETS","Over the last thirty years, more and more critics and scholars have come to recognize the importance of science to literature. 'Science in Modern Poetry: New Directions' is the first collection of essays to focus specifically on what poets in the twentieth and twenty-first centuries have made of the scientific developments going on around them. In a collection of twelve essays, leading experts on modern poetry and on literature and science explore how poets have used scientific language in their poems, how poetry can offer new perspectives on science, and how the 'Two Cultures' can and have come together in the work of poets from Britain and Ireland, America and Australia. What does the poetry of a leading immunologist and a Nobel-Prize-winning chemist tell us about how poetry can engage with science? Scientific experiments aim to yield knowledge, but what do the linguistic and formal experiments of contemporary American poets suggest about knowledge in their turn? How can universities help to bring these different experimental cultures and practices together? What questions do literary critics need to ask themselves when looking at poems that respond to science? How did developments in biology between the wars shape modernist poetry? What did William Empson make of science fiction, Ezra Pound of the fourth dimension, Thomas Hardy of anthropology? How did modern poets from W. B. Yeats to Elizabeth Bishop and Judith Wright respond to the legacy of Charles Darwin? This book aims to answer these questions and more, in the process setting out the state of the field and suggesting new directions and approaches for research by students and scholars working on the fertile relationship between science and poetry today.",['John Holmes'],http://books.google.com/books/content?id=EHVvEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=EHVvEAAAQBAJ&pg=PA7&dq=MADE+IN+AMERICA:+SCIENCE,+TECHNOLOGY,+AND+AMERICAN+MODERNIST+POETS&hl=&cd=1&source=gbs_api",Liverpool University Press,2012-03-31,https://play.google.com/store/books/details?id=EHVvEAAAQBAJ&source=gbs_api,['Literary Criticism'],
The Man Who Found Time: James Hutton and the Discovery of Earth's Antiquity,"There are three men whose life's work helped free science from the strait-jacket of religion. Two of the three—Nicolaus Copernicus and Charles Darwin—are widely heralded for their breakthroughs. The third, James Hutton, is comparatively unknown, yet he profoundly changed our understanding of the earth, its age, and its dynamic forces. A Scottish gentleman farmer, Hutton's observations on his small tract of land led him to a theory that directly contradicted biblical claims that the Earth was only 6,000 years old. This expertly crafted narrative tells the story not only of Hutton, but also of Scotland and the Scottish Enlightenment, including many of the greatest thinkers of the age, such as David Hume and Adam Smith.",['Jack Repcheck'],http://books.google.com/books/content?id=Esh6tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Esh6tAEACAAJ&dq=The+Man+Who+Found+Time:+James+Hutton+and+the+Discovery+of+Earth%27s+Antiquity&hl=&cd=1&source=gbs_api,Basic Books,2009-05-05,http://books.google.com/books?id=Esh6tAEACAAJ&dq=The+Man+Who+Found+Time:+James+Hutton+and+the+Discovery+of+Earth%27s+Antiquity&hl=&source=gbs_api,['Science'],8.0
"On the origin of species by means of natural selection, or, The preservation of favoured races in the struggle for life","It took Charles Darwin more than twenty years to publish this book, in part because he realized that it would ignite a firestorm of controversy. The Origin of Species first appeared in 1859, and it remains a continuing source of conflict to this day. Even among those who reject its ideas, however, the work's impact is undeniable. In science, philosophy, and theology, this is a book that changed the world. In addition to its status as the focus of a dramatic turning point in scientific thought, On the Origin of Species stands as a remarkably readable study. Carefully reasoned and well-documented in its arguments, the work offers coherent views of natural selection, adaptation, the struggle for existence, survival of the fittest, and other concepts that form the foundation of modern evolutionary theory.--Amazon.com.",['Charles Darwin'],http://books.google.com/books/content?id=jTZbAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=jTZbAAAAQAAJ&printsec=frontcover&dq=On+the+origin+of+species+by+means+of+natural+selection,+or,+The+preservation+of+favoured+races+in+the+struggle+for+life&hl=&cd=1&source=gbs_api",,1859,https://play.google.com/store/books/details?id=jTZbAAAAQAAJ&source=gbs_api,['Electronic books'],6.0
The various contrivances by which orchids are fertilised by insects;,,['Charles Darwin'],http://books.google.com/books/content?id=cbbQxaa63vMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=cbbQxaa63vMC&printsec=frontcover&dq=The+various+contrivances+by+which+orchids+are+fertilised+by+insects%3B&hl=&cd=1&source=gbs_api,,1877,https://play.google.com/store/books/details?id=cbbQxaa63vMC&source=gbs_api,['Fertilization of plants'],2.0
"The origin of species by means of natural selection;: Or, The preservation of favored races in the struggle for life (International science library)",,['Charles Darwin'],http://books.google.com/books/content?id=P-QEAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=P-QEAAAAYAAJ&printsec=frontcover&dq=The+origin+of+species+by+means+of+natural+selection%3B:+Or,+The+preservation+of+favored+races+in+the+struggle+for+life+(International+science+library)&hl=&cd=1&source=gbs_api",,1864,https://play.google.com/store/books/details?id=P-QEAAAAYAAJ&source=gbs_api,['Evolution'],4.0
"Galapagos,: World's end","In 1835, Charles Darwin observed variations among the Galapagos Islands' species that inspired him to formulate the theory of natural selection. Eighty-eight years later, in 1923, a scientific expedition sponsored by the New York Zoological Society followed in Darwin's wake. Led by the author, a biologist and explorer, the scientists visited the the islands to study and obtain specimens of indigenous plants and animals. This is his personal account of that expedition. He recounts the expedition's productive results, including specimens of 60 species previously unknown to science, and an unparalleled accumulation of data that stimulated many scientific papers and new avenues of naturalistic inquiry.",['William Beebe'],http://books.google.com/books/content?id=jThMAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=jThMAAAAMAAJ&printsec=frontcover&dq=Galapagos,:+World%27s+end&hl=&cd=1&source=gbs_api",Wm. Tyrrell & Company,1924,https://play.google.com/store/books/details?id=jThMAAAAMAAJ&source=gbs_api,['Galápagos Islands'],
FitzRoy: The Remarkable Story of Darwin's Captain and the Invention of the Weather Forecast,"The Remarkable Story of Darwin's Captain and the Invention of the Weather ForecastThe name of Robert FitzRoy, captain of the Beagle, is forever linked with that of his most famous passenger, Charles Darwin. This exceptionally interesting biography brings FitzRoy out of Darwin's shadow for the first time, revealing a man who experienced high adventure, suffered tragic disappointments, and-as the inventor of weather forecasting-saved the lives of countless fellow mariners.John and Mary Gribbin draw a detailed portrait of FitzRoy, recounting the wide range of his accomplishments and exploring the motivations that drove him. As a very young and successful commander in the British navy, FitzRoy's life was in the mold of a Patrick O'Brian novel. This biography focuses well-deserved attention on FitzRoy's status as a master scientist and seaman.","['John Gribbin', 'Mary Gribbin']",http://books.google.com/books/content?id=qAgQkAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=qAgQkAEACAAJ&dq=FitzRoy:+The+Remarkable+Story+of+Darwin%27s+Captain+and+the+Invention+of+the+Weather+Forecast&hl=&cd=1&source=gbs_api,Createspace Independent Publishing Platform,2016-05-05,http://books.google.com/books?id=qAgQkAEACAAJ&dq=FitzRoy:+The+Remarkable+Story+of+Darwin%27s+Captain+and+the+Invention+of+the+Weather+Forecast&hl=&source=gbs_api,['Admirals'],
Galileo's Commandment: An Anthology of Great Science Writing,"Marie Curie reminisces about her and her husband's efforts to isolate the element radium. Herodotus observes the Nile Valley and concludes that it was once under water. Carl Sagan argues against assertions that aliens regularly visit Earth. These are among the literary gems Edmund Blair Bolles includes in GALILEO'S COMMANDMENT. Bolles has scoured the literature of science to build a treasury that is accessible and riveting, appealing to readers unfamiliar with science yet erudite enough for the scientifically initiated reader to enjoy. The authors include scientists well-known for their writing - including Stephen Jay Gould, Richard Feynman and Charles Darwin - and scientists such as Kepler, James Clerk Maxwell, Alfred Wallace, and of course Galileo himself. The writings here span time and the scientific disciplines (the earliest pieces dates to c.444 BC) and the result is a fascinating collection , ideal for browsing or for reading cover to cover.",['Edmund Blair Bolles'],http://books.google.com/books/content?id=TCuDPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=TCuDPwAACAAJ&dq=Galileo%27s+Commandment:+An+Anthology+of+Great+Science+Writing&hl=&cd=1&source=gbs_api,,2000,http://books.google.com/books?id=TCuDPwAACAAJ&dq=Galileo%27s+Commandment:+An+Anthology+of+Great+Science+Writing&hl=&source=gbs_api,['Science'],
Mary Anning: The Fossil Hunter (Remarkable Children),"At a time when women were excluded from science, a young girl made a discovery that marked the birth of paleontology and continues to feed the debate about evolution to this day. Mary Anning was only twelve years old when, in 1811, she discovered the first dinosaur skeleton--of an ichthyosaur--while fossil hunting on the cliffs of Lyme Regis, England. Until Mary's incredible discovery, it was widely believed that animals did not become extinct. The child of a poor family, Mary became a fossil hunter, inspiring the tongue-twister, ""She Sells Sea Shells by the Seashore."" She attracted the attention of fossil collectors and eventually the scientific world. Once news of the fossils reached the halls of academia, it became impossible to ignore the truth. Mary's peculiar finds helped lay the groundwork for Charles Darwin's theory of evolution, laid out in his On the Origin of Species. Darwin drew on Mary's fossilized creatures as irrefutable evidence that life in the past was nothing like life in the present. A story worthy of Dickens, The Fossil Hunter chronicles the life of this young girl, with dirt under her fingernails and not a shilling to buy dinner, who became a world-renowned paleontologist. Dickens himself said of Mary: ""The carpenter's daughter has won a name for herself, and deserved to win it."" Here at last, Shelley Emling returns Mary Anning, of whom Stephen J. Gould remarked, is ""probably the most important unsung (or inadequately sung) collecting force in the history of paleontology,"" to her deserved place in history.",['Shelley Emling'],http://books.google.com/books/content?id=Y4NvIGkAJ70C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Y4NvIGkAJ70C&pg=PP1&dq=Mary+Anning:+The+Fossil+Hunter+(Remarkable+Children)&hl=&cd=1&source=gbs_api,St. Martin's Press,2009-10-13,https://play.google.com/store/books/details?id=Y4NvIGkAJ70C&source=gbs_api,['Biography & Autobiography'],6.0
On Evolution,"The father of evolution imbibed history with his controversial book On the Origin of Species. As a young scientist studying natural history, Charles Darwin set out on the HMS Beagle for a five-year voyage that would bring him in contact with animal species, plant species, and rock formations all over the world. This voyage established him as an eminent geologist, and his publication of his journal of the voyage established him as a well-known popular author. After continued, careful studying of his findings from his trip around the world, he published one of the most controversial books of history—The Origin of Species—which opposed the church’s theory that all species had come into existence at the time of the Creation. Darwin on Evolution contains quotes and wisdom from The Origin of Species, as well as from his other publications, pertaining to his theories of evolution and natural selection. Readers young and old alike will have the opportunity to learn more about his theories while also taking away important life lessons. As Darwin says, “In the long history of humankind (and animal kind, too) those who learned to collaborate and improvise most effectively have prevailed.”",['Charles Darwin'],http://books.google.com/books/content?id=iS2CDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=iS2CDwAAQBAJ&pg=PP1&dq=On+Evolution&hl=&cd=1&source=gbs_api,Simon and Schuster,2015-06-02,https://play.google.com/store/books/details?id=iS2CDwAAQBAJ&source=gbs_api,['Science'],
"Insectivorous plants,","In this 1875 publication, Darwin details the multitude of experiments he conducted, along with many friends, colleagues, and his sons, on carnivorous plants with a special focus on the feeding mechanisms and the adaptations that enabled the plants to survive. This study of feeding flies to plants includes illustrations from Darwin and his sons.",['Charles Darwin'],http://books.google.com/books/content?id=ZyIftQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=ZyIftQEACAAJ&dq=Insectivorous+plants,&hl=&cd=1&source=gbs_api",Createspace Independent Publishing Platform,2018-03-23,"http://books.google.com/books?id=ZyIftQEACAAJ&dq=Insectivorous+plants,&hl=&source=gbs_api",,
The descent of man: And selection in relation to sex,,['Charles Darwin'],http://books.google.com/books/content?id=j-8hm8eHg-UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=j-8hm8eHg-UC&printsec=frontcover&dq=The+descent+of+man:+And+selection+in+relation+to+sex&hl=&cd=1&source=gbs_api,,1871,https://play.google.com/store/books/details?id=j-8hm8eHg-UC&source=gbs_api,['Evolution'],
